age,experience,projects,rating,hours,salary
59,13,8,1,35,42371
49,30,15,1,54,75528
35,4,5,1,42,30124
28,34,3,2,50,79591
41,22,19,4,31,70029
59,28,1,2,37,63397
39,10,15,4,50,47568
43,17,8,4,31,57297
31,11,2,3,33,40857
31,8,3,3,54,37820
44,9,14,4,44,48886
56,16,14,4,33,53100
44,6,11,2,42,33910
23,12,16,2,57,48700
42,8,4,3,41,35649
22,26,5,1,57,66238
44,1,14,4,42,33717
50,4,16,2,43,37799
58,28,18,3,49,74452
22,18,7,2,47,50196
41,7,10,4,58,45395
53,0,7,4,57,31504
32,21,1,5,35,66617
42,16,19,1,58,50031
45,6,16,5,40,46262
47,24,19,3,59,67805
48,3,4,2,31,27678
36,5,18,3,57,36739
35,30,2,4,52,71984
23,18,1,5,48,52985
57,26,15,5,48,76031
27,9,5,5,34,44283
41,25,11,3,48,69536
29,18,10,4,31,60710
59,2,2,2,39,24219
38,12,3,2,54,44768
24,27,12,3,31,66531
45,19,5,5,59,64067
34,27,5,1,40,63713
29,7,6,3,47,42857
46,0,9,3,58,33135
22,2,2,4,53,31598
40,12,12,2,44,40762
48,27,3,3,38,64374
27,24,12,3,52,63891
28,32,17,5,48,86561
55,5,10,5,38,36131
34,31,14,1,32,68605
37,20,17,4,50,60114
56,15,18,1,38,54733
24,20,19,5,57,68596
22,10,17,2,59,39304
26,34,14,5,43,80781
24,18,9,4,48,58375
49,19,8,5,36,64932
38,17,2,4,45,54447
46,13,13,4,45,56311
54,14,7,4,57,48743
30,30,9,4,30,78717
56,0,11,4,33,28597
34,2,14,2,33,27074
51,15,4,1,36,46260
35,22,13,3,37,58589
28,10,2,1,46,36600
34,11,5,4,34,50614
43,9,11,2,36,36471
41,31,6,5,57,81227
36,15,18,2,49,48071
38,7,10,4,58,42091
44,11,4,2,49,45835
46,23,9,2,33,62542
45,27,6,4,57,66749
49,7,2,2,35,32639
35,27,17,3,36,70559
21,25,5,3,47,66285
45,7,6,2,34,36732
27,27,12,5,49,73360
29,27,10,4,59,68861
44,26,6,3,58,67964
21,16,8,5,32,55070
28,8,2,2,36,33353
44,32,12,5,56,84700
31,19,13,1,57,51338
37,12,7,3,51,49662
28,27,10,2,43,68476
55,28,13,4,36,75488
55,12,17,2,34,50716
53,34,14,4,58,84504
25,5,2,2,51,34445
59,17,11,5,34,61675
48,4,1,5,59,40386
27,24,19,5,52,73333
29,1,4,1,31,20297
28,9,19,4,59,45262
32,29,11,5,56,74136
54,4,8,1,50,35279
53,32,11,4,51,74872
43,0,4,2,35,27721
44,17,17,1,44,53771
57,31,7,3,50,76697
55,10,8,1,39,36490
42,20,3,1,52,54466
47,25,2,4,55,65724
55,24,15,2,53,61133
21,21,5,3,36,55517
55,26,1,5,34,67948
57,12,4,5,30,45737
34,32,15,1,42,72637
23,33,19,4,50,85185
21,34,3,4,55,74997
25,0,11,5,47,32050
46,20,17,3,42,64635
34,5,13,2,50,38574
59,27,11,3,50,72903
47,16,2,2,47,49013
29,4,9,5,34,38366
35,30,2,2,42,65210
35,4,9,4,33,33427
46,2,9,1,46,24554
33,22,8,1,32,57455
52,9,17,5,46,45924
59,9,1,4,57,46169
52,18,11,3,40,60583
24,16,8,4,50,55174
50,20,10,1,49,56519
57,13,7,1,52,40349
43,8,3,4,50,36681
59,0,3,4,55,31448
35,12,18,1,59,47223
49,3,5,3,33,29105
56,0,12,5,31,32467
33,31,12,5,49,82293
52,33,19,4,45,83176
27,27,6,5,57,69413
42,30,2,1,47,68479
48,7,12,1,37,35070
22,25,19,4,32,75459
26,33,5,4,38,81264
48,2,12,4,58,31177
48,11,17,3,49,51803
40,0,17,5,58,32374
50,4,10,4,35,36869
31,29,17,2,39,74344
48,29,15,2,50,69426
45,16,12,1,39,50146
59,22,16,5,42,69652
53,14,19,4,46,52251
21,20,8,2,38,57811
47,13,17,5,46,49607
33,1,5,1,53,28087
23,10,16,3,38,43355
59,33,6,5,38,76775
26,33,8,5,30,82316
28,17,18,3,31,60576
47,29,12,5,57,79339
29,14,15,1,45,49210
57,26,9,1,58,63700
53,33,13,3,30,79054
44,32,15,4,39,83578
35,23,10,2,47,62563
52,14,16,4,55,51085
52,29,7,5,57,75823
44,16,17,2,37,55071
32,4,7,3,50,32625
59,28,14,3,57,70022
22,3,15,2,40,32943
23,9,7,1,52,39130
57,16,9,2,31,45958
37,9,19,5,37,44482
22,16,16,1,56,47698
22,19,8,3,51,56035
48,23,18,2,37,65529
43,4,18,4,46,37600
57,33,7,4,44,79710
52,5,3,5,46,40567
53,1,18,4,57,30512
21,12,10,2,52,40687
39,10,7,2,53,39790
22,22,17,4,42,69904
46,15,14,2,48,48007
52,30,3,5,34,78033
26,10,12,1,41,42109
52,15,13,5,30,61373
24,7,2,5,52,42006
31,3,3,2,34,26991
37,3,5,1,37,30183
58,24,11,2,42,63548
44,2,8,3,37,35166
25,31,12,2,54,74208
54,2,7,2,52,27704
26,26,15,2,40,63169
42,28,17,1,30,68464
31,31,4,2,42,74029
36,18,13,1,48,49183
53,20,18,4,53,59323
29,4,1,3,32,28425
26,17,16,1,53,48829
36,27,13,4,46,77186
49,21,10,1,34,59938
23,20,12,1,49,54311
40,5,2,3,50,37104
56,0,3,5,37,35652
39,4,10,5,55,40274
46,11,2,1,43,37964
23,25,13,2,33,68233
39,33,13,4,40,83188
40,13,18,2,49,44126
52,25,3,2,44,57664
27,26,7,1,48,67687
53,8,14,1,36,33845
59,25,17,1,48,67144
38,21,12,1,57,57669
21,29,16,5,48,76290
31,16,12,1,40,47104
48,25,15,5,55,76346
45,0,10,5,34,28587
43,7,7,1,34,38777
51,34,5,3,59,77579
50,14,1,4,51,47648
55,21,17,2,37,61899
27,13,3,5,39,49231
36,25,13,4,35,73833
46,27,14,3,44,74081
22,22,18,2,45,66572
21,13,4,2,57,49590
32,23,18,5,46,66615
25,1,5,1,37,26450
57,25,16,3,37,68733
52,13,1,5,54,45898
29,6,14,3,38,41296
55,2,15,1,31,26826
39,22,9,1,44,61787
36,17,15,5,47,61416
23,34,17,1,32,80080
40,14,4,4,46,51963
44,24,12,2,33,60274
53,27,5,5,59,74950
44,9,5,3,33,45122
31,16,11,4,43,59215
28,21,6,5,38,64349
56,25,7,1,38,57689
58,24,14,1,54,61778
40,16,11,1,55,53427
55,12,13,1,52,39055
45,19,2,3,59,59362
55,24,7,4,47,63058
45,3,4,2,39,31044
49,9,8,3,50,42679
38,2,19,3,33,35844
38,17,13,2,41,53463
22,21,14,2,56,58530
55,33,10,1,37,78546
36,7,11,3,31,43631
56,18,2,5,51,62394
53,5,9,2,42,35859
24,25,17,2,50,62041
53,33,3,4,45,79440
34,5,6,5,57,40225
41,32,5,5,31,81858
40,21,5,2,40,56628
28,20,15,1,39,57870
27,5,17,4,44,45128
23,5,9,5,46,36148
37,3,3,2,37,32579
53,29,17,5,47,79715
32,10,10,4,52,41459
42,29,3,4,38,74968
42,30,18,3,54,76046
50,23,18,2,37,59292
58,8,17,4,56,41887
58,2,3,3,43,32274
28,30,3,3,57,68038
47,23,6,5,55,66041
47,30,13,5,54,81318
54,5,15,3,47,39362
41,1,9,5,51,31654
50,19,4,4,49,62358
53,27,14,1,59,65374
48,10,5,4,49,40877
53,3,2,3,50,32801
25,14,11,3,41,47897
39,5,9,4,48,33341
24,29,3,5,43,72059
55,1,9,5,46,33796
37,14,3,3,53,51931
48,10,2,2,50,40261
50,7,12,5,32,45242
49,25,10,4,55,69126
26,4,9,5,59,42487
55,5,15,4,52,43472
57,25,8,3,36,61323
44,3,5,5,46,37999
49,18,11,4,41,57549
51,19,2,3,38,51850
55,32,15,2,44,76257
53,19,6,4,47,55267
41,11,8,2,50,41988
52,0,5,2,42,24678
43,25,16,1,59,67089
53,13,18,5,50,52846
23,10,6,4,59,49441
38,12,5,2,37,43894
45,2,16,1,43,32680
51,32,13,3,37,77975
23,5,5,4,43,39230
44,9,13,2,36,37931
52,4,17,5,52,39090
42,22,18,1,41,62555
43,9,8,2,40,39393
22,1,13,5,51,39735
47,12,19,2,51,43633
22,1,3,4,40,26860
46,19,8,4,54,56623
37,0,2,4,51,23885
53,8,8,1,57,31664
29,16,13,4,58,57716
59,8,13,5,42,42662
49,10,1,2,47,34340
46,14,6,3,31,49627
55,23,19,5,58,73459
45,34,16,5,50,81787
44,29,8,4,44,76704
33,30,1,1,49,70089
27,4,16,2,56,35517
56,13,9,1,47,42398
40,10,13,2,44,43274
21,8,11,2,48,39090
28,33,13,1,52,77583
36,11,10,5,53,47024
34,34,4,2,41,80477
32,34,6,1,42,72279
43,0,7,2,51,30985
35,21,5,3,40,59154
48,28,11,5,34,71078
54,7,13,4,58,47177
22,10,19,2,30,41192
52,13,10,3,53,44160
43,29,10,4,32,70848
42,34,11,4,51,86791
45,20,7,2,48,58951
42,4,18,1,52,35556
42,18,4,2,58,49244
26,13,2,3,59,48468
35,25,14,4,36,68216
57,3,13,2,41,36650
53,24,12,1,44,65768
28,24,7,2,54,61677
25,17,2,5,34,51827
59,7,13,1,44,38868
24,13,14,3,37,45042
26,31,17,4,39,76047
52,32,9,2,55,76281
50,22,17,1,45,61417
55,14,8,5,37,48926
36,32,2,1,30,72348
33,24,13,5,41,65305
50,16,3,3,34,53886
39,32,16,4,32,85565
37,1,6,3,30,28040
39,13,19,2,33,46046
48,5,7,1,37,28078
46,5,10,5,32,36271
57,2,9,5,39,36225
46,6,2,1,31,35370
43,7,15,1,40,32193
29,14,5,2,54,43507
32,28,4,3,39,65385
21,32,4,5,50,76594
21,29,18,2,43,77884
54,26,4,3,36,70502
52,28,17,2,56,70105
45,32,12,5,56,84029
21,26,17,1,31,63361
36,32,10,1,38,71736
59,3,1,3,45,32516
25,21,18,4,42,64775
42,1,18,3,38,36821
49,9,14,4,49,45078
23,4,15,2,33,37315
32,9,12,2,51,39551
46,32,4,5,39,81816
36,12,3,4,55,51736
57,30,12,5,55,76400
42,23,7,1,51,61933
49,14,11,4,41,52710
34,28,1,3,46,64755
48,7,6,1,43,36192
25,4,15,1,43,33308
50,28,15,3,54,74296
25,3,19,1,31,31996
32,11,11,4,50,47893
36,1,2,5,54,28425
46,26,14,1,49,65176
46,30,2,4,40,78005
41,25,4,2,45,58859
59,26,17,4,48,71750
56,4,3,5,52,36887
53,19,13,4,35,60097
50,10,9,3,53,39040
57,9,7,5,48,44428
43,5,15,2,34,32968
30,7,11,3,55,35503
25,22,2,4,33,62082
56,25,15,5,44,73376
54,11,14,2,58,41500
51,25,11,3,33,67263
30,12,3,2,49,42812
39,17,17,4,39,58248
52,24,12,2,53,59455
21,32,15,1,51,72366
25,11,16,3,32,42482
24,3,5,2,55,28112
36,4,6,4,34,36470
44,7,19,4,35,43692
36,27,5,2,50,66823
22,30,3,4,51,70417
48,8,1,5,37,42302
52,28,6,5,36,70156
47,13,15,5,50,52629
40,21,2,1,39,52728
44,10,3,2,35,43110
32,22,17,1,43,61232
55,0,12,4,33,35924
53,20,18,1,57,58988
53,25,15,4,54,68311
57,22,12,4,42,65648
32,0,16,3,49,32046
23,14,8,5,46,49387
21,20,14,4,52,60521
53,8,17,3,36,42715
30,8,8,5,33,47765
49,9,15,4,58,44741
33,25,14,4,43,67752
32,34,18,1,32,79974
51,24,7,1,53,55826
22,25,3,5,34,67160
55,10,12,4,45,47406
43,1,3,2,55,23275
37,6,14,1,52,37193
46,17,15,5,49,59033
28,26,14,4,33,71643
49,33,7,4,53,75589
46,26,17,2,59,66844
30,16,12,5,53,61211
46,23,4,4,31,59293
54,24,9,1,59,57474
27,6,6,2,47,30735
24,5,16,5,48,41108
31,23,2,2,57,54431
49,32,8,1,57,75322
56,28,11,5,48,73002
45,21,13,2,46,60289
41,25,17,3,43,68654
56,27,8,1,48,63768
30,20,18,1,51,56600
57,6,18,1,53,31601
29,16,14,3,42,51697
44,19,15,3,41,55842
55,19,6,4,59,62401
55,21,11,2,55,58458
56,27,13,4,35,74944
38,6,1,2,50,36018
59,0,6,3,33,23570
52,31,9,3,48,73355
44,12,8,4,45,45028
43,29,11,5,42,72186
52,22,19,4,33,67731
57,18,9,2,59,55139
32,31,17,4,52,81001
33,29,12,1,46,68108
43,28,14,2,52,67666
45,28,15,2,30,67782
55,29,16,5,47,75156
50,15,1,3,49,51780
37,18,10,2,46,50998
40,17,8,3,56,54376
45,0,18,4,57,37828
42,13,1,1,56,41469
33,1,2,5,44,36442
39,27,1,3,40,66118
56,29,1,2,54,69864
32,3,9,3,57,35646
39,0,13,2,51,24331
32,7,1,3,42,37424
29,28,13,2,30,72361
27,2,7,4,46,29919
48,31,2,2,35,67230
34,9,6,2,33,40863
51,9,7,1,49,35258
39,18,14,2,45,53700
36,33,18,1,44,80466
25,32,15,5,56,79620
55,22,2,1,44,54620
32,27,10,4,35,69759
45,31,12,1,44,68923
41,6,17,5,43,40574
56,28,8,4,57,69642
43,7,11,3,40,38043
36,0,3,3,36,28890
59,2,6,1,38,26960
